Entidad,Con mascota,Sin mascota,Total
Aguascalientes,275117,139195,414312
Baja California,833462,435688,1269150
Baja California Sur,185140,99808,284948
Campeche,210501,65525,276026
Coahuila,641655,318452,960107
Colima,164655,92234,256889
Chiapas,941161,557514,1498675
Chihuahua,801741,429520,1231261
Distrito Federal,1875038,1195040,3070078
Durango,389235,168981,558216
Guanajuato,1295127,463239,1758366
Guerrero,766673,244076,1010749
Hidalgo,671135,221288,892423
Jalisco,1688890,935311,2624201
México,3558274,1382369,4940643
Michoacán,1011556,439076,1450632
Morelos,448164,158520,606684
Nayarit,264878,131013,395891
Nuevo León,1164401,679956,1844357
Oaxaca,877127,307069,1184196
Puebla,1380077,464790,1844867
Querétaro,525708,223545,749253
Quintana Roo,411934,215604,627538
San Luis Potosí,630815,217374,848189
Sinaloa,595532,324383,919915
Sonora,663716,304411,968127
Tabasco,480330,252348,732678
Tamaulipas,788591,370037,1158628
Tlaxcala,279352,90846,370198
Veracruz,1846220,672902,2519122
Yucatán,521406,170966,692372
Zacatecas,321312,138407,459719