Entidad,Perro,Gato,Otra Especie,Total
Aguascalientes,469627,145445,440209,1055281
Baja California,1506073,674662,671873,2852608
Baja California Sur,343590,148293,188203,680086
Campeche,421802,161582,216301,799685
Coahuila,1108456,378605,756377,2243438
Colima,258895,119132,287411,665438
Chiapas,1596107,508749,369432,2474288
Chihuahua,1416000,620467,459500,2495967
Distrito Federal,2932109,1333369,2026476,6291954
Durango,640338,241283,597246,1478867
Guanajuato,2586713,708491,1156618,4451822
Guerrero,1595830,710729,682969,2989528
Hidalgo,1389670,475506,520796,2385972
Jalisco,2494604,1079193,1785147,5358944
México,6919036,2428373,2969425,12316834
Michoacán,2000816,827186,1168286,3996288
Morelos,837343,433983,735268,2006594
Nayarit,415563,208479,331083,955125
Nuevo León,1719666,703156,1097628,3520450
Oaxaca,1849569,681881,848355,3379805
Puebla,2729657,999402,829079,4558138
Querétaro,846200,310208,645165,1801573
Quintana Roo,702139,285155,370500,1357794
San Luis Potosí,1287562,551539,637683,2476784
Sinaloa,979647,388594,636082,2004323
Sonora,1172107,421355,530066,2123528
Tabasco,822266,239937,465111,1527314
Tamaulipas,1395578,709525,625105,2730208
Tlaxcala,557058,220519,275664,1053241
Veracruz,3176730,1483856,988011,5648597
Yucatán,970766,541477,831984,2344227
Zacatecas,569848,246404,474456,1290708